4.106655010187537647e-02	6.600549999999999950e-04
8.213310020375075293e-02	6.306120000000000128e-04
1.231996503056261294e-01	6.428669999999999827e-04
1.642663749404267293e-01	6.151859999999999880e-04
2.053327505093768823e-01	5.997339999999999876e-04
2.463986024795514485e-01	5.851219999999999859e-04
2.874661997789780821e-01	5.654949999999999517e-04
3.285320517491526204e-01	5.485849999999999798e-04
3.695996490485792263e-01	5.123579999999999758e-04
4.106655010187537647e-01	5.147220000000000094e-04
4.517330983181803705e-01	4.814940000000000084e-04
4.927989502883549089e-01	4.516850000000000097e-04
5.338648022585295028e-01	4.334410000000000129e-04
5.749323995579561641e-01	4.001949999999999995e-04
6.159982515281307025e-01	3.786150000000000062e-04
6.570658488275572529e-01	3.533499999999999966e-04
6.981317007977317912e-01	3.422599999999999926e-04
7.391975527679063296e-01	5.224579999999999502e-04
7.802651500673329910e-01	6.128670000000000125e-04
8.213310020375075293e-01	6.359090000000000402e-04
8.623985993369340797e-01	6.411309999999999709e-04
9.034644513071086180e-01	6.100450000000000317e-04
9.445303032772833784e-01	5.914979999999999804e-04
9.855979005767098178e-01	5.409720000000000240e-04
1.026663752546884467e+00	4.987340000000000263e-04
1.067731349846311018e+00	4.447729999999999783e-04
1.108797201816485556e+00	4.035590000000000032e-04
1.149864799115912328e+00	3.596159999999999938e-04
1.190930651086086645e+00	3.087349999999999773e-04
1.231996503056261405e+00	2.572760000000000216e-04
1.273064100355687733e+00	2.084509999999999868e-04
1.314129952325862494e+00	1.625839999999999870e-04
1.355197549625289044e+00	1.186069999999999979e-04
1.396263401595463582e+00	7.876419999999999374e-05
