351.0000,0.26669,1.6194
354.0000,0.25039,1.6761
357.0000,0.23599,1.7308
360.0000,0.2232,1.7838
363.0000,0.21178,1.8352
366.0000,0.20154,1.8851
369.0000,0.19232,1.9337
372.0000,0.184,1.981
375.0000,0.17646,2.0273
378.0000,0.16961,2.0725
381.0000,0.16337,2.1168
384.0000,0.15768,2.1602
387.0000,0.15248,2.2028
390.0000,0.14771,2.2446
393.0000,0.14334,2.2858
396.0000,0.13933,2.3263
399.0000,0.13565,2.3662
402.0000,0.13226,2.4055
405.0000,0.12914,2.4443
408.0000,0.12626,2.4825
411.0000,0.12362,2.5204
414.0000,0.12118,2.5577
417.0000,0.11893,2.5947
420.0000,0.11686,2.6312
423.0000,0.11495,2.6674
426.0000,0.1132,2.7033
429.0000,0.11159,2.7388
432.0000,0.11011,2.774
435.0000,0.10875,2.8089
438.0000,0.1075,2.8435
441.0000,0.10637,2.8778
444.0000,0.10533,2.9119
447.0000,0.10439,2.9457
450.0000,0.10353,2.9793
453.0000,0.10276,3.0127
456.0000,0.10206,3.0458
459.0000,0.10144,3.0788
462.0000,0.10089,3.1115
465.0000,0.1004,3.1441
468.0000,0.099976,3.1765
471.0000,0.099609,3.2087
474.0000,0.099298,3.2407
477.0000,0.099039,3.2726
480.0000,0.098831,3.3043
483.0000,0.09867,3.3359
486.0000,0.098554,3.3673
489.0000,0.098482,3.3986
492.0000,0.098451,3.4298
495.0000,0.098459,3.4609
498.0000,0.098505,3.4918
501.0000,0.098587,3.5226
504.0000,0.098704,3.5533
507.0000,0.098853,3.5838
510.0000,0.099034,3.6143
513.0000,0.099246,3.6447
516.0000,0.099486,3.6749
519.0000,0.099755,3.7051
522.0000,0.10005,3.7352
525.0000,0.10037,3.7652
528.0000,0.10072,3.7951
531.0000,0.10109,3.8249
534.0000,0.10149,3.8546
537.0000,0.10191,3.8843
540.0000,0.10235,3.9138
543.0000,0.10281,3.9433
546.0000,0.10329,3.9728
549.0000,0.10379,4.0021
552.0000,0.10431,4.0314
555.0000,0.10485,4.0606
558.0000,0.10541,4.0898
561.0000,0.10599,4.1189
564.0000,0.10658,4.1479
567.0000,0.10719,4.1769
570.0000,0.10782,4.2058
573.0000,0.10846,4.2346
576.0000,0.10912,4.2634
579.0000,0.10979,4.2922
582.0000,0.11048,4.3209
585.0000,0.11119,4.3495
588.0000,0.11191,4.3781
591.0000,0.11264,4.4067
594.0000,0.11339,4.4352
597.0000,0.11415,4.4636
600.0000,0.11492,4.492
603.0000,0.11571,4.5204
606.0000,0.1165,4.5487
609.0000,0.11732,4.577
612.0000,0.11814,4.6053
615.0000,0.11898,4.6335
618.0000,0.11982,4.6616
621.0000,0.12069,4.6897
624.0000,0.12156,4.7178
627.0000,0.12244,4.7459
630.0000,0.12333,4.7739
633.0000,0.12424,4.8019
636.0000,0.12516,4.8298
639.0000,0.12609,4.8578
642.0000,0.12702,4.8856
645.0000,0.12797,4.9135
648.0000,0.12893,4.9413
651.0000,0.1299,4.9691
654.0000,0.13088,4.9969
657.0000,0.13188,5.0246
660.0000,0.13288,5.0523
663.0000,0.13389,5.08
666.0000,0.13491,5.1077
669.0000,0.13594,5.1353
672.0000,0.13698,5.1629
675.0000,0.13803,5.1905
678.0000,0.13909,5.218
681.0000,0.14016,5.2456
684.0000,0.14124,5.2731
687.0000,0.14233,5.3005
690.0000,0.14343,5.328
693.0000,0.14454,5.3554
696.0000,0.14565,5.3829
699.0000,0.14678,5.4103
702.0000,0.14792,5.4376
705.0000,0.14906,5.465
708.0000,0.15022,5.4923
711.0000,0.15138,5.5196
714.0000,0.15255,5.5469
717.0000,0.15373,5.5742
720.0000,0.15492,5.6015
723.0000,0.15612,5.6287
726.0000,0.15733,5.656
729.0000,0.15855,5.6832
732.0000,0.15977,5.7104
735.0000,0.16101,5.7375
738.0000,0.16225,5.7647
741.0000,0.16351,5.7918
744.0000,0.16477,5.819
747.0000,0.16604,5.8461
750.0000,0.16732,5.8732
753.0000,0.16861,5.9002
756.0000,0.1699,5.9273
759.0000,0.17121,5.9544
762.0000,0.17252,5.9814
765.0000,0.17385,6.0084
768.0000,0.17518,6.0355
771.0000,0.17652,6.0625
774.0000,0.17787,6.0894
777.0000,0.17923,6.1164
780.0000,0.1806,6.1434
783.0000,0.18197,6.1703
786.0000,0.18336,6.1973
789.0000,0.18475,6.2242
792.0000,0.18615,6.2511
795.0000,0.18756,6.278
798.0000,0.18898,6.3049
801.0000,0.19041,6.3318
804.0000,0.19185,6.3587
807.0000,0.1933,6.3855
810.0000,0.19475,6.4124
813.0000,0.19621,6.4392
816.0000,0.19769,6.4661
819.0000,0.19917,6.4929
822.0000,0.20066,6.5197
825.0000,0.20216,6.5465
828.0000,0.20367,6.5733
831.0000,0.20518,6.6001
834.0000,0.20671,6.6269
837.0000,0.20824,6.6537
840.0000,0.20979,6.6804
843.0000,0.21134,6.7072
846.0000,0.2129,6.7339
849.0000,0.21447,6.7607
